Gene Name	max
A1CF	35.177178933565806
AAR2	59.407643628532
AARS1	410.74444286339894
AARS2	70.6176465712783
AARSD1	84.386721276455
ABCE1	233.47604645125801
ABT1	36.6196820635599
ACIN1	264.59507727160303
ACO1	397.014627518024
ADAD1	209.38903373668498
ADAD2	88.1710799939278
ADAR	298.634486851355
ADARB1	120.468401389263
ADARB2	29.51789106165
ADAT1	62.6014254666008
ADAT2	26.659150553775802
ADAT3	8.25980020541564
AEN	87.6808178050353
AFF1	71.11837279773151
AFF3	102.337131472146
AFF4	99.8308673013168
AGFG1	127.911316128708
AGO1	42.104248005268104
AGO2	68.5277527889754
AGO3	27.2031543321202
AGO4	40.610132339067604
AIMP1	107.983848109772
AIMP2	147.35531518154
AK6	207.24412266425
AKAP1	182.226563128195
AKAP17A	116.92089060997401
AKAP8	48.1286628172029
AKAP8L	131.11133797781602
ALKBH1	43.0482461032691
ALKBH5	235.02087032825
ALKBH8	63.4205107612267
ALYREF	332.435961098526
ANG	847.2278027365879
ANGEL1	54.8412479215917
ANGEL2	58.9392528259729
ANKHD1	70.4761116415268
ANKRD17	77.5681070097947
APEX1	652.085626425658
API5	194.215515434537
APOBEC1	68.3422400295218
APOBEC2	135.288276254579
APOBEC3F	34.72138162366161
APOBEC3G	160.951552635639
APOBEC3H	37.7889558906467
APOBEC4	14.3707040724689
APTX	88.1190898064955
AQR	55.8232632010318
ARHGEF28	82.3883595925991
ARL6IP4	1032.1255983234598
ASCC1	149.144385347737
ASH1L	70.8355169747154
ATXN1	47.8307235418298
ATXN1L	26.072241495073598
ATXN2	76.43136371727941
ATXN2L	564.498398184513
AUH	43.6492566557051
AZGP1	1422.0334085397303
BARD1	62.960455760723896
BAZ2A	104.310749985651
BAZ2B	34.2604111281458
BCDIN3D	9.30407568838155
BCLAF1	288.66376941534804
BICC1	205.029797103364
BMS1	110.91500774449601
BOLL	185.32630585523899
BRCA1	101.757766016476
BRIX1	192.76233507323798
BUD13	131.928382573652
BYSL	143.126816889742
BZW1	571.947361567549
BZW2	249.74810658653197
C11orf68	119.571823198043
C12orf65	181.394605391822
C1D	81.84889064959971
C1QBP	717.189874598875
FMC1-LUC7L2	72.4276415198086
C9orf129	20.0877848894103
CACTIN	34.3723357885647
CALR	4555.77718966233
CALR3	77.1816670866876
CANX	1238.52416478483
CAPRIN1	439.892917452677
CAPRIN2	123.716683230105
CARHSP1	429.219514395556
CARS1	158.359367986446
CARS2	125.84238781283999
CASC3	173.00359207906502
CCAR1	194.547320064668
CCAR2	173.77396558200803
CCDC59	124.043916744848
CCDC86	114.863297302766
CCNT1	50.2919482780774
CCNT2	48.8961637119517
CD2BP2	116.19799590572201
POLR1G	51.4814786362359
CDC40	40.8917130528902
CDC5L	132.62748804332
CDK5RAP1	67.45822606757089
CDK9	190.506623908971
CEBPZ	98.2629541923588
CELF1	194.85088495824903
CELF2	232.02627008029899
CELF3	309.305548481522
CELF4	120.605357729304
CELF5	148.428397914998
CELF6	4.0659972227889405
CHERP	100.435698964655
CHTOP	157.08622578640302
CIRBP	714.327974254637
CLASRP	195.378543914635
CLK1	388.297391320175
CLK2	144.975104287321
CLK3	149.152342897302
CLK4	47.77943615762779
CLP1	31.115080847140497
CMSS1	179.120392871763
CMTR1	143.75466038029302
CMTR2	59.0995592175706
CNBP	846.4298633218809
CNOT1	288.34789545631304
CNOT10	177.18053124806198
CNOT11	108.86373209576999
CNOT2	790.655021088767
CNOT3	294.161953523791
CNOT4	37.51496873859
CNOT6	150.335730760488
CNOT6L	83.19939440818979
CNOT7	202.83621383425597
CNOT8	186.36036867626999
CNOT9	119.350535044799
CNP	892.1590306108569
CPEB1	34.2265696643124
CPEB2	72.79990401156559
CPEB3	24.555182575239897
CPEB4	56.767798087761605
CPSF1	246.31390171346
CPSF2	111.971291476828
CPSF3	107.71838208250799
INTS11	239.958943856905
CPSF4	124.979970960447
CPSF4L	7.635548030497779
CPSF6	926.3771084221
CPSF7	203.666808547672
CRNKL1	60.377998431699496
CRYZ	169.095411837985
CSDC2	103.62459343318899
CSDE1	1016.4562383311301
CSTF1	68.9763410225445
CSTF2	61.7603221208694
CSTF2T	48.4273793491802
CSTF3	201.413676234017
AC011455.2	84.2236342037769
CTIF	101.13022733054599
CTU1	8.21145396463471
CTU2	53.775918669473
CWC22	122.347117062255
CWC25	37.7414735663573
CWC27	57.9560282586043
CWF19L1	75.1493815103307
CWF19L2	35.289594554639294
BCLAF3	19.029873966989697
DALRD3	100.49376040256
DAP3	309.104586574755
DARS1	175.68369293817798
DARS2	102.24798880967899
DAZ1	70.78119003906279
DAZ2	7.1915589425707696
DAZ4	8.28643108383066
DAZAP1	287.007949170425
DAZL	107.70192992184099
DBR1	26.524629584925698
DCAF13	134.156733356156
DCP1A	40.9546729815997
DCP1B	40.817894779456296
DCP2	108.322486652466
DCPS	104.59427001924101
DDX1	4990.22087542451
DDX10	326.54172239452004
DDX11	136.454107922122
DDX17	660.144006488155
DDX18	161.084274604245
DDX19A	68.88677045777021
DDX20	142.64266860550399
DDX21	325.949137933735
DDX23	171.04057146204
DDX24	371.89214700330103
DDX25	174.559243700027
DDX27	109.931160248932
DDX28	24.940089882322003
DDX31	33.8345257036443
DDX39A	334.062401992883
DDX3X	293.78323247864
DDX3Y	156.169419638341
DDX4	200.42638426921698
DDX41	140.839692149522
DDX42	262.856766613323
DDX43	31.1296243630388
DDX46	207.921414309439
DDX47	156.060102631539
DDX49	104.742893612818
DDX5	1233.8351123409
DDX50	90.4279088337328
DDX51	49.917780879986495
